wojewodztwo,powiat_miasto,teryt,stan_rekordu_na,liczba_na_10_tys_mieszkancow,liczba_osob_objetych_kwarantanna,liczba_ozdrowiencow,liczba_pozostalych_testow,liczba_przypadkow,liczba_testow_z_wynikiem_negatywnym,liczba_testow_z_wynikiem_pozytywnym,liczba_wykonanych_testow,liczba_zlecen_poz,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych
pomorskie,sztumski,t2216,2021-03-17 00:00:00,5.35,365,3,0,22,70,23,93,33,0,0,0
mazowieckie,szydłowiecki,t1430,2021-03-17 00:00:00,3.29,140,1,5,13,42,13,60,18,0,0,0
podkarpackie,Tarnobrzeg,t1864,2021-03-17 00:00:00,9.66,599,6,1,45,96,88,185,77,2,0,2
podkarpackie,tarnobrzeski,t1820,2021-03-17 00:00:00,3.4,530,4,0,18,58,33,91,65,0,0,0
śląskie,tarnogórski,t2413,2021-03-17 00:00:00,2.7,939,13,1,38,128,42,171,152,0,0,0
małopolskie,Tarnów,t1263,2021-03-17 00:00:00,6.56,899,12,2,71,92,75,169,111,1,1,0
małopolskie,tarnowski,t1216,2021-03-17 00:00:00,4.57,1195,23,1,92,149,93,243,99,0,0,0
małopolskie,tatrzański,t1217,2021-03-17 00:00:00,2.35,240,5,2,16,53,17,72,18,0,0,0
pomorskie,tczewski,t2214,2021-03-17 00:00:00,8.39,1305,36,3,97,174,103,280,129,0,0,0
lubelskie,tomaszowski,t0618,2021-03-17 00:00:00,3.89,323,3,5,32,75,33,113,53,2,1,1
łódzkie,tomaszowski,t1016,2021-03-17 00:00:00,6.72,662,10,3,78,168,81,252,83,0,0,0
kujawsko-pomorskie,Toruń,t0463,2021-03-17 00:00:00,7.81,1696,20,21,157,389,164,574,273,1,0,1
kujawsko-pomorskie,toruński,t0415,2021-03-17 00:00:00,6.43,1129,11,15,70,211,73,299,137,1,0,1
dolnośląskie,trzebnicki,t0220,2021-03-17 00:00:00,5.97,797,13,0,51,110,55,165,99,0,0,0
kujawsko-pomorskie,tucholski,t0416,2021-03-17 00:00:00,7.86,557,10,3,38,73,43,119,41,0,0,0
wielkopolskie,turecki,t3027,2021-03-17 00:00:00,0.72,496,3,0,6,65,7,72,71,2,0,2
śląskie,Tychy,t2477,2021-03-17 00:00:00,10.45,1315,11,6,133,196,134,336,225,3,0,3
kujawsko-pomorskie,wąbrzeski,t0417,2021-03-17 00:00:00,9.09,335,4,0,31,38,32,70,33,2,0,2
małopolskie,wadowicki,t1218,2021-03-17 00:00:00,7.88,1726,31,8,126,155,131,294,193,4,0,4
wielkopolskie,wągrowiecki,t3028,2021-03-17 00:00:00,7.98,617,12,1,56,104,98,203,70,2,0,2
dolnośląskie,Wałbrzych,t0265,2021-03-17 00:00:00,7.23,1007,20,1,80,154,94,249,144,2,2,0
dolnośląskie,wałbrzyski,t0221,2021-03-17 00:00:00,6.14,685,15,1,34,58,39,98,67,2,2,0
zachodniopomorskie,wałecki,t3217,2021-03-17 00:00:00,3.78,156,2,0,20,50,20,70,29,0,0,0
mazowieckie,Warszawa,t1465,2021-03-17 00:00:00,9.44,21758,549,131,1693,3399,1980,5510,2743,25,1,24
mazowieckie,warszawski zachodni,t1432,2021-03-17 00:00:00,14.56,2471,38,2,174,209,187,398,223,3,3,0
warmińsko-mazurskie,węgorzewski,t2819,2021-03-17 00:00:00,3.1,155,0,1,7,28,8,37,19,0,0,0
mazowieckie,węgrowski,t1433,2021-03-17 00:00:00,4.11,335,4,24,27,70,38,132,54,2,0,2
pomorskie,wejherowski,t2215,2021-03-17 00:00:00,7.54,2649,72,7,165,515,174,696,349,4,0,4
małopolskie,wielicki,t1219,2021-03-17 00:00:00,9.62,1809,57,2,125,142,127,271,160,1,0,1
łódzkie,wieluński,t1017,2021-03-17 00:00:00,3.15,216,5,0,24,53,25,78,23,0,0,0
łódzkie,wieruszowski,t1018,2021-03-17 00:00:00,2.85,138,0,0,12,21,14,35,15,1,0,1
kujawsko-pomorskie,Włocławek,t0464,2021-03-17 00:00:00,4.76,515,9,0,52,134,53,187,103,2,0,2
kujawsko-pomorskie,włocławski,t0418,2021-03-17 00:00:00,2.79,403,3,0,24,85,24,109,55,2,0,2
lubelskie,włodawski,t0619,2021-03-17 00:00:00,4.97,312,3,0,19,41,20,61,26,3,0,3
świętokrzyskie,włoszczowski,t2613,2021-03-17 00:00:00,4.23,176,1,2,19,55,19,76,31,0,0,0
śląskie,wodzisławski,t2415,2021-03-17 00:00:00,6.69,921,8,5,105,180,112,297,176,0,0,0
mazowieckie,wołomiński,t1434,2021-03-17 00:00:00,10.47,3829,62,40,263,423,289,752,473,1,0,1
dolnośląskie,wołowski,t0222,2021-03-17 00:00:00,1.5,217,7,2,7,32,8,42,25,0,0,0
wielkopolskie,wolsztyński,t3029,2021-03-17 00:00:00,6.26,461,1,0,36,81,36,117,46,1,0,1
dolnośląskie,Wrocław,t0264,2021-03-17 00:00:00,6.91,5584,154,18,445,1026,514,1558,942,3,3,0
dolnośląskie,wrocławski,t0223,2021-03-17 00:00:00,7.8,1927,43,5,120,236,134,375,301,0,0,0
wielkopolskie,wrzesiński,t3030,2021-03-17 00:00:00,5.63,560,8,0,44,54,47,101,93,0,0,0
lubuskie,wschowski,t0812,2021-03-17 00:00:00,6.96,344,0,0,27,45,27,72,31,0,0,0
podlaskie,wysokomazowiecki,t2013,2021-03-17 00:00:00,2.82,156,4,2,16,58,17,77,16,1,0,1
mazowieckie,wyszkowski,t1435,2021-03-17 00:00:00,5.79,1090,8,5,43,94,71,170,101,2,0,2
dolnośląskie,ząbkowicki,t0224,2021-03-17 00:00:00,2.64,462,19,3,17,62,20,85,65,2,1,1
śląskie,Zabrze,t2478,2021-03-17 00:00:00,10.43,1089,9,6,179,211,183,400,226,2,2,0
lubuskie,żagański,t0810,2021-03-17 00:00:00,4.32,292,1,5,34,54,34,93,64,2,2,0
podlaskie,zambrowski,t2014,2021-03-17 00:00:00,8.07,376,1,3,35,61,37,101,39,2,0,2
lubelskie,zamojski,t0620,2021-03-17 00:00:00,3.4,563,7,1,36,85,37,123,71,1,0,1
lubelskie,Zamość,t0664,2021-03-17 00:00:00,3.8,381,0,3,24,90,25,118,51,0,0,0
lubuskie,żarski,t0811,2021-03-17 00:00:00,3.55,414,3,1,34,115,36,152,54,2,2,0
śląskie,zawierciański,t2416,2021-03-17 00:00:00,6.49,908,15,9,76,144,84,237,92,0,0,0
łódzkie,zduńskowolski,t1019,2021-03-17 00:00:00,6.34,411,1,0,42,100,44,144,75,0,0,0
łódzkie,zgierski,t1020,2021-03-17 00:00:00,2.11,1382,24,2,35,218,40,260,205,1,0,1
dolnośląskie,zgorzelecki,t0225,2021-03-17 00:00:00,2.93,474,8,0,26,60,27,87,44,0,0,0
lubuskie,Zielona Góra,t0862,2021-03-17 00:00:00,8.21,1578,94,3,116,245,126,374,228,1,0,1
lubuskie,zielonogórski,t0809,2021-03-17 00:00:00,8.46,862,32,2,64,119,66,187,119,1,0,1
dolnośląskie,złotoryjski,t0226,2021-03-17 00:00:00,3,109,4,1,13,33,14,48,18,0,0,0
wielkopolskie,złotowski,t3031,2021-03-17 00:00:00,4.62,518,3,0,32,73,32,105,47,2,1,1
kujawsko-pomorskie,żniński,t0419,2021-03-17 00:00:00,6.71,500,10,2,47,103,50,155,65,1,0,1
śląskie,Żory,t2479,2021-03-17 00:00:00,7.5,433,6,2,47,60,48,110,67,0,0,0
mazowieckie,żuromiński,t1437,2021-03-17 00:00:00,5.74,225,4,2,22,42,22,66,31,0,0,0
mazowieckie,zwoleński,t1436,2021-03-17 00:00:00,2.78,222,4,1,10,35,20,56,27,0,0,0
mazowieckie,żyrardowski,t1438,2021-03-17 00:00:00,7.41,1077,7,1,56,127,61,189,100,2,2,0
śląskie,żywiecki,t2417,2021-03-17 00:00:00,18.24,2804,58,7,278,227,286,520,253,4,0,4
kujawsko-pomorskie,aleksandrowski,t0401,2021-03-16 00:00:00,2.73,504,13,0,15,51,15,66,98,0,0,0
podlaskie,augustowski,t2001,2021-03-16 00:00:00,2.42,192,6,0,14,35,16,51,54,0,0,0
warmińsko-mazurskie,bartoszycki,t2801,2021-03-16 00:00:00,9.84,702,15,1,56,62,58,121,104,1,0,1
śląskie,będziński,t2401,2021-03-16 00:00:00,6.29,1556,75,4,93,153,93,250,316,2,0,2
łódzkie,bełchatowski,t1001,2021-03-16 00:00:00,1.51,591,22,0,17,107,17,124,125,0,0,0
lubelskie,Biała Podlaska,t0661,2021-03-16 00:00:00,2.62,296,5,0,15,75,16,91,87,1,1,0
mazowieckie,białobrzeski,t1401,2021-03-16 00:00:00,0.9,517,6,1,3,27,6,34,51,1,0,1
zachodniopomorskie,białogardzki,t3201,2021-03-16 00:00:00,1.05,195,8,3,5,51,9,63,32,0,0,0
podlaskie,białostocki,t2002,2021-03-16 00:00:00,1.8,894,28,0,27,113,33,146,211,1,0,1
lubelskie,bialski,t0601,2021-03-16 00:00:00,1.9,582,21,5,21,109,22,136,107,0,0,0
podlaskie,Białystok,t2061,2021-03-16 00:00:00,2.29,1541,75,0,68,294,71,365,443,1,0,1
podlaskie,bielski,t2003,2021-03-16 00:00:00,1.85,308,13,0,10,53,13,66,69,1,0,1
śląskie,bielski,t2402,2021-03-16 00:00:00,6.74,2816,93,3,112,206,124,333,524,1,1,0
śląskie,Bielsko-Biała,t2461,2021-03-16 00:00:00,5.64,2116,76,9,96,224,106,339,435,2,1,1
śląskie,bieruńsko-lędziński,t2414,2021-03-16 00:00:00,4.84,455,33,0,29,49,30,79,112,1,0,1
podkarpackie,bieszczadzki,t1801,2021-03-16 00:00:00,10.2,308,15,0,22,46,22,68,48,0,0,0
lubelskie,biłgorajski,t0602,2021-03-16 00:00:00,5.47,839,29,6,55,140,59,205,147,5,1,4
małopolskie,bocheński,t1201,2021-03-16 00:00:00,3.92,768,33,0,42,134,48,182,134,0,0,0
dolnośląskie,bolesławiecki,t0201,2021-03-16 00:00:00,2,235,9,1,18,101,27,129,84,0,0,0
warmińsko-mazurskie,braniewski,t2802,2021-03-16 00:00:00,5.62,365,29,0,23,49,26,75,82,0,0,0
kujawsko-pomorskie,brodnicki,t0402,2021-03-16 00:00:00,2.27,461,19,0,18,70,20,90,110,1,0,1
małopolskie,brzeski,t1202,2021-03-16 00:00:00,4.08,677,19,2,38,150,45,197,92,1,1,0
opolskie,brzeski,t1601,2021-03-16 00:00:00,0.22,382,12,0,2,55,3,58,79,0,0,0
łódzkie,brzeziński,t1021,2021-03-16 00:00:00,5.85,295,14,1,18,46,19,66,24,0,0,0
podkarpackie,brzozowski,t1802,2021-03-16 00:00:00,3.66,550,8,2,24,125,28,155,61,0,0,0
świętokrzyskie,buski,t2601,2021-03-16 00:00:00,1.68,498,16,3,12,70,14,87,93,0,0,0
kujawsko-pomorskie,bydgoski,t0403,2021-03-16 00:00:00,7.2,1219,62,6,86,182,92,280,285,0,0,0
kujawsko-pomorskie,Bydgoszcz,t0461,2021-03-16 00:00:00,6.17,2954,214,30,214,719,229,978,718,5,0,5
śląskie,Bytom,t2462,2021-03-16 00:00:00,3.28,1002,31,0,54,171,55,226,271,1,0,1
pomorskie,bytowski,t2201,2021-03-16 00:00:00,1.64,333,20,0,13,73,16,89,63,1,0,1
Cały kraj,Cały kraj,t0000,2021-03-16 00:00:00,3.75,314744,13560,1116,14396,46320,16479,63915,59561,372,79,293
lubelskie,Chełm,t0662,2021-03-16 00:00:00,7.63,449,17,11,47,66,47,124,86,0,0,0
kujawsko-pomorskie,chełmiński,t0404,2021-03-16 00:00:00,5.79,546,15,2,30,115,40,157,91,1,0,1
lubelskie,chełmski,t0603,2021-03-16 00:00:00,3.73,373,16,9,29,82,29,120,67,1,0,1
wielkopolskie,chodzieski,t3001,2021-03-16 00:00:00,1.92,184,3,0,9,58,10,68,49,0,0,0
pomorskie,chojnicki,t2202,2021-03-16 00:00:00,2.66,663,4,2,26,62,26,90,115,0,0,0
śląskie,Chorzów,t2463,2021-03-16 00:00:00,3.72,650,42,2,40,94,44,140,179,0,0,0
zachodniopomorskie,choszczeński,t3202,2021-03-16 00:00:00,6.45,286,11,0,31,39,32,71,36,0,0,0
małopolskie,chrzanowski,t1203,2021-03-16 00:00:00,5.56,942,27,2,69,141,71,214,175,2,2,0
mazowieckie,ciechanowski,t1402,2021-03-16 00:00:00,2.13,932,40,2,19,93,21,116,153,1,0,1
śląskie,cieszyński,t2403,2021-03-16 00:00:00,1.8,1620,99,3,32,148,39,190,327,7,0,7
wielkopolskie,czarnkowsko-trzcianecki,t3002,2021-03-16 00:00:00,2.53,793,40,0,22,79,22,101,116,0,0,0
śląskie,Częstochowa,t2464,2021-03-16 00:00:00,3.56,1151,56,10,78,262,94,366,304,9,0,9
śląskie,częstochowski,t2404,2021-03-16 00:00:00,3.28,698,38,0,44,174,50,224,148,0,0,0
pomorskie,człuchowski,t2203,2021-03-16 00:00:00,3.04,281,9,1,17,51,18,70,40,0,0,0
śląskie,Dąbrowa Górnicza,t2465,2021-03-16 00:00:00,6.9,1265,43,6,82,157,84,247,354,2,0,2
małopolskie,dąbrowski,t1204,2021-03-16 00:00:00,2.87,392,4,0,17,39,18,57,33,3,1,2
podkarpackie,dębicki,t1803,2021-03-16 00:00:00,2.59,869,22,2,35,125,49,176,141,1,0,1
zachodniopomorskie,drawski,t3203,2021-03-16 00:00:00,2.46,571,16,2,14,54,16,72,96,0,0,0
warmińsko-mazurskie,działdowski,t2803,2021-03-16 00:00:00,4.62,965,52,1,30,118,36,155,125,2,0,2
dolnośląskie,dzierżoniowski,t0202,2021-03-16 00:00:00,1.19,431,33,0,12,69,14,83,113,0,0,0
warmińsko-mazurskie,Elbląg,t2861,2021-03-16 00:00:00,4.45,687,13,2,53,129,57,188,181,2,0,2
warmińsko-mazurskie,elbląski,t2804,2021-03-16 00:00:00,4.38,262,12,0,25,42,28,70,69,2,0,2
warmińsko-mazurskie,ełcki,t2805,2021-03-16 00:00:00,3.17,556,7,1,29,105,29,135,127,2,0,2
mazowieckie,garwoliński,t1403,2021-03-16 00:00:00,1.19,515,20,3,13,96,14,113,67,0,0,0
pomorskie,Gdańsk,t2261,2021-03-16 00:00:00,6.72,6567,322,22,317,648,330,1000,882,0,0,0
pomorskie,gdański,t2204,2021-03-16 00:00:00,6.87,1928,114,4,82,123,88,215,271,2,1,1
pomorskie,Gdynia,t2262,2021-03-16 00:00:00,4.76,3277,153,11,117,264,122,397,601,4,1,3
warmińsko-mazurskie,giżycki,t2806,2021-03-16 00:00:00,3.36,364,16,0,19,42,19,61,59,0,0,0
śląskie,Gliwice,t2466,2021-03-16 00:00:00,5.78,1044,50,3,103,261,103,367,294,2,0,2
śląskie,gliwicki,t2405,2021-03-16 00:00:00,5.19,835,23,5,60,160,61,226,221,0,0,0
dolnośląskie,głogowski,t0203,2021-03-16 00:00:00,2.14,606,25,0,19,79,19,98,107,0,0,0
opolskie,głubczycki,t1602,2021-03-16 00:00:00,1.1,201,13,0,5,41,5,46,59,0,0,0
wielkopolskie,gnieźnieński,t3003,2021-03-16 00:00:00,2.13,1533,55,2,31,106,34,142,237,1,1,0
warmińsko-mazurskie,gołdapski,t2818,2021-03-16 00:00:00,0.38,91,14,0,1,21,1,22,16,1,1,0
zachodniopomorskie,goleniowski,t3204,2021-03-16 00:00:00,2.43,661,2,4,20,103,25,132,133,1,1,0
kujawsko-pomorskie,golubsko-dobrzyński,t0405,2021-03-16 00:00:00,6.9,657,35,0,31,67,38,105,138,0,0,0
małopolskie,gorlicki,t1205,2021-03-16 00:00:00,1.38,316,11,2,15,112,17,131,69,0,0,0
dolnośląskie,górowski,t0204,2021-03-16 00:00:00,4.9,126,4,0,17,22,17,39,46,0,0,0
lubuskie,Gorzów Wielkopolski,t0861,2021-03-16 00:00:00,4.13,1530,56,2,51,191,59,252,285,0,0,0
lubuskie,gorzowski,t0801,2021-03-16 00:00:00,1.53,803,31,0,11,71,14,85,128,0,0,0
mazowieckie,gostyniński,t1404,2021-03-16 00:00:00,0.45,190,4,1,2,31,3,35,42,1,0,1
wielkopolskie,gostyński,t3004,2021-03-16 00:00:00,1.84,308,11,0,14,52,14,66,55,0,0,0
podlaskie,grajewski,t2004,2021-03-16 00:00:00,4.68,352,13,1,22,57,26,84,45,0,0,0
mazowieckie,grodziski,t1405,2021-03-16 00:00:00,10.03,1807,79,1,97,176,114,291,279,0,0,0
wielkopolskie,grodziski,t3005,2021-03-16 00:00:00,2.89,226,11,1,15,57,15,73,50,0,0,0
mazowieckie,grójecki,t1406,2021-03-16 00:00:00,1.94,2135,61,8,19,121,39,168,166,1,0,1
kujawsko-pomorskie,Grudziądz,t0462,2021-03-16 00:00:00,4.46,893,38,7,42,246,45,298,210,4,4,0
kujawsko-pomorskie,grudziądzki,t0406,2021-03-16 00:00:00,4.23,380,10,0,17,68,18,86,63,0,0,0
zachodniopomorskie,gryficki,t3205,2021-03-16 00:00:00,2.17,203,5,1,13,71,16,88,57,0,0,0
zachodniopomorskie,gryfiński,t3206,2021-03-16 00:00:00,1.47,316,10,3,12,153,14,170,94,0,0,0
podlaskie,hajnowski,t2005,2021-03-16 00:00:00,0.95,269,1,0,4,74,5,79,56,0,0,0
lubelskie,hrubieszowski,t0604,2021-03-16 00:00:00,7.52,514,15,7,47,99,53,159,110,0,0,0
warmińsko-mazurskie,iławski,t2807,2021-03-16 00:00:00,7.43,1303,47,0,69,105,72,177,205,5,0,5
kujawsko-pomorskie,inowrocławski,t0407,2021-03-16 00:00:00,5.08,1680,68,10,81,131,84,225,401,4,1,3
lubelskie,janowski,t0605,2021-03-16 00:00:00,2.64,182,4,3,12,57,13,73,37,0,0,0
wielkopolskie,jarociński,t3006,2021-03-16 00:00:00,1.82,666,31,0,13,58,13,71,132,0,0,0
podkarpackie,jarosławski,t1804,2021-03-16 00:00:00,5.75,1347,87,10,69,144,129,283,189,2,1,1
podkarpackie,jasielski,t1805,2021-03-16 00:00:00,0.79,575,29,1,9,131,34,166,85,1,0,1
śląskie,Jastrzębie-Zdrój,t2467,2021-03-16 00:00:00,3.28,454,18,1,29,82,29,112,165,0,0,0
dolnośląskie,jaworski,t0205,2021-03-16 00:00:00,0.8,202,11,1,4,33,6,40,53,0,0,0
śląskie,Jaworzno,t2468,2021-03-16 00:00:00,2.31,663,16,3,21,110,28,141,153,3,0,3
świętokrzyskie,jędrzejowski,t2602,2021-03-16 00:00:00,4.23,607,25,5,36,97,41,143,62,0,0,0
dolnośląskie,Jelenia Góra,t0261,2021-03-16 00:00:00,5.33,550,30,4,42,101,50,155,108,2,0,2
dolnośląskie,jeleniogórski,t0206,2021-03-16 00:00:00,3.63,279,15,1,23,57,25,83,51,0,0,0
wielkopolskie,kaliski,t3007,2021-03-16 00:00:00,0.36,494,12,0,3,60,4,64,53,0,0,0
wielkopolskie,Kalisz,t3061,2021-03-16 00:00:00,1.5,512,32,4,15,62,16,82,137,0,0,0
dolnośląskie,kamiennogórski,t0207,2021-03-16 00:00:00,6.27,715,60,0,27,65,34,99,73,1,1,0
zachodniopomorskie,kamieński,t3207,2021-03-16 00:00:00,1.49,286,9,1,7,50,8,59,46,1,0,1
pomorskie,kartuski,t2205,2021-03-16 00:00:00,5.47,1753,78,6,77,153,79,238,190,1,0,1
śląskie,Katowice,t2469,2021-03-16 00:00:00,4.15,1713,87,7,121,384,135,526,459,9,1,8
świętokrzyskie,kazimierski,t2603,2021-03-16 00:00:00,1.49,183,1,3,5,37,6,46,28,0,0,0
opolskie,kędzierzyńsko-kozielski,t1603,2021-03-16 00:00:00,4.28,1034,49,1,40,104,42,147,173,2,0,2
wielkopolskie,kępiński,t3008,2021-03-16 00:00:00,0.71,573,25,2,4,38,4,44,76,0,0,0
warmińsko-mazurskie,kętrzyński,t2808,2021-03-16 00:00:00,5,549,35,3,31,41,34,78,102,4,0,4
świętokrzyskie,Kielce,t2661,2021-03-16 00:00:00,4.33,1103,55,15,84,353,99,467,351,11,0,11
świętokrzyskie,kielecki,t2604,2021-03-16 00:00:00,4.54,1087,54,13,96,288,115,416,287,6,0,6
śląskie,kłobucki,t2406,2021-03-16 00:00:00,1.54,386,27,1,13,87,15,103,59,0,0,0
dolnośląskie,kłodzki,t0208,2021-03-16 00:00:00,1.78,1922,114,2,28,142,40,184,338,5,0,5
opolskie,kluczborski,t1604,2021-03-16 00:00:00,1.07,305,15,0,7,62,7,69,78,0,0,0
podkarpackie,kolbuszowski,t1806,2021-03-16 00:00:00,2.09,355,13,0,13,75,36,111,47,1,0,1
podlaskie,kolneński,t2006,2021-03-16 00:00:00,4.74,409,16,0,18,21,19,40,44,0,0,0
zachodniopomorskie,kołobrzeski,t3208,2021-03-16 00:00:00,2.39,310,12,0,19,78,21,99,76,0,0,0
wielkopolskie,kolski,t3009,2021-03-16 00:00:00,0.93,334,8,3,8,89,10,102,91,1,0,1
świętokrzyskie,konecki,t2605,2021-03-16 00:00:00,1.76,209,5,1,14,119,21,141,64,1,0,1
wielkopolskie,Konin,t3062,2021-03-16 00:00:00,0.68,364,30,6,5,47,5,58,90,0,0,0
wielkopolskie,koniński,t3010,2021-03-16 00:00:00,1.31,593,30,12,17,92,18,122,131,0,0,0
wielkopolskie,kościański,t3011,2021-03-16 00:00:00,1.14,759,39,0,9,63,10,73,125,1,1,0
pomorskie,kościerski,t2206,2021-03-16 00:00:00,7.83,679,19,3,57,57,63,123,86,2,0,2
zachodniopomorskie,Koszalin,t3261,2021-03-16 00:00:00,1.22,677,35,0,13,101,14,115,128,0,0,0
zachodniopomorskie,koszaliński,t3209,2021-03-16 00:00:00,1.35,341,14,1,9,62,10,73,76,0,0,0
mazowieckie,kozienicki,t1407,2021-03-16 00:00:00,1.84,533,21,1,11,40,13,54,99,0,0,0
małopolskie,Kraków,t1261,2021-03-16 00:00:00,3.48,6259,337,25,272,691,285,1001,1200,13,13,0
małopolskie,krakowski,t1206,2021-03-16 00:00:00,3.39,3221,132,5,95,271,102,378,583,4,4,0
opolskie,krapkowicki,t1605,2021-03-16 00:00:00,1.1,233,8,0,7,85,8,93,37,0,0,0
lubelskie,kraśnicki,t0607,2021-03-16 00:00:00,2.95,264,9,1,28,75,29,105,61,0,0,0
lubelskie,krasnostawski,t0606,2021-03-16 00:00:00,2.86,358,6,0,18,84,19,103,46,0,0,0
lubuskie,krośnieński,t0802,2021-03-16 00:00:00,1.1,360,16,1,6,53,7,61,70,1,1,0
podkarpackie,krośnieński,t1807,2021-03-16 00:00:00,2.85,726,38,8,32,146,56,210,137,0,0,0
podkarpackie,Krosno,t1861,2021-03-16 00:00:00,3.25,341,31,2,15,66,23,91,67,2,0,2
wielkopolskie,krotoszyński,t3012,2021-03-16 00:00:00,4.02,807,22,4,31,54,31,89,136,1,1,0
łódzkie,kutnowski,t1002,2021-03-16 00:00:00,1.04,289,5,0,10,79,13,92,72,0,0,0
pomorskie,kwidzyński,t2207,2021-03-16 00:00:00,1.69,768,30,2,14,82,17,101,139,0,0,0
podkarpackie,łańcucki,t1810,2021-03-16 00:00:00,5.3,999,17,1,43,130,56,187,172,0,0,0
łódzkie,łaski,t1003,2021-03-16 00:00:00,3.21,235,10,0,16,69,17,86,47,0,0,0
pomorskie,lęborski,t2208,2021-03-16 00:00:00,1.51,1021,76,1,10,78,15,94,157,2,0,2
łódzkie,łęczycki,t1004,2021-03-16 00:00:00,3.43,251,9,1,17,91,19,111,50,0,0,0
lubelskie,łęczyński,t0610,2021-03-16 00:00:00,0.87,295,11,1,5,86,5,92,70,0,0,0
mazowieckie,legionowski,t1408,2021-03-16 00:00:00,5.78,2181,62,10,69,159,75,244,342,3,3,0
dolnośląskie,Legnica,t0262,2021-03-16 00:00:00,2.73,728,14,3,27,90,30,123,150,3,3,0
dolnośląskie,legnicki,t0209,2021-03-16 00:00:00,0.36,312,3,0,2,44,2,46,69,0,0,0
podkarpackie,leski,t1821,2021-03-16 00:00:00,2.27,273,11,0,6,31,7,38,40,0,0,0
wielkopolskie,leszczyński,t3013,2021-03-16 00:00:00,5.91,290,19,0,34,48,34,82,70,0,0,0
wielkopolskie,Leszno,t3063,2021-03-16 00:00:00,5.69,330,18,0,36,56,37,93,90,2,2,0
podkarpackie,leżajski,t1808,2021-03-16 00:00:00,2.31,480,24,1,16,74,16,91,77,3,0,3
warmińsko-mazurskie,lidzbarski,t2809,2021-03-16 00:00:00,8.77,619,8,3,36,72,37,112,113,2,0,2
małopolskie,limanowski,t1207,2021-03-16 00:00:00,0.76,196,7,1,10,147,14,162,51,1,0,1
kujawsko-pomorskie,lipnowski,t0408,2021-03-16 00:00:00,4.27,446,9,2,28,77,29,108,74,0,0,0
mazowieckie,lipski,t1409,2021-03-16 00:00:00,1.48,274,12,1,5,29,5,35,28,0,0,0
zachodniopomorskie,łobeski,t3218,2021-03-16 00:00:00,1.92,324,12,0,7,37,9,46,42,0,0,0
łódzkie,Łódź,t1061,2021-03-16 00:00:00,6.1,5569,250,44,413,1280,445,1769,1202,5,0,5
łódzkie,łódzki wschodni,t1006,2021-03-16 00:00:00,5.66,488,22,5,41,88,42,135,112,0,0,0
podlaskie,Łomża,t2062,2021-03-16 00:00:00,8.12,983,54,2,51,40,53,95,148,0,0,0
podlaskie,łomżyński,t2007,2021-03-16 00:00:00,5.11,903,29,0,26,33,26,59,72,0,0,0
mazowieckie,łosicki,t1410,2021-03-16 00:00:00,2.61,121,2,1,8,19,9,29,18,0,0,0
łódzkie,łowicki,t1005,2021-03-16 00:00:00,4.24,1119,17,0,33,105,33,138,137,0,0,0
podkarpackie,lubaczowski,t1809,2021-03-16 00:00:00,2.55,439,14,5,14,48,16,69,46,0,0,0
dolnośląskie,lubański,t0210,2021-03-16 00:00:00,0.92,244,4,2,5,41,7,50,58,0,0,0
lubelskie,lubartowski,t0608,2021-03-16 00:00:00,0.57,309,6,0,5,71,6,77,65,0,0,0
lubelskie,lubelski,t0609,2021-03-16 00:00:00,2.24,785,21,0,35,179,36,215,167,0,0,0
dolnośląskie,lubiński,t0211,2021-03-16 00:00:00,1.32,500,24,1,14,97,15,113,108,0,0,0
lubelskie,Lublin,t0663,2021-03-16 00:00:00,3.18,1917,80,8,108,571,116,695,474,0,0,0
śląskie,lubliniecki,t2407,2021-03-16 00:00:00,0.92,326,21,0,7,72,8,80,56,0,0,0
lubelskie,łukowski,t0611,2021-03-16 00:00:00,2.91,440,15,5,31,114,36,155,92,0,0,0
dolnośląskie,lwówecki,t0212,2021-03-16 00:00:00,2.4,192,5,0,11,85,13,98,31,0,0,0
mazowieckie,makowski,t1411,2021-03-16 00:00:00,1.79,316,10,1,8,38,9,48,55,0,0,0
pomorskie,malborski,t2209,2021-03-16 00:00:00,5.99,503,21,3,38,50,38,91,115,0,0,0
małopolskie,miechowski,t1208,2021-03-16 00:00:00,4.72,272,8,1,23,49,26,76,67,0,0,0
wielkopolskie,międzychodzki,t3014,2021-03-16 00:00:00,3.54,208,5,0,13,43,13,56,46,0,0,0
lubuskie,międzyrzecki,t0803,2021-03-16 00:00:00,2.27,719,37,0,13,62,14,76,122,0,0,0
podkarpackie,mielecki,t1811,2021-03-16 00:00:00,3.07,930,26,0,42,164,95,259,155,0,0,0
śląskie,mikołowski,t2408,2021-03-16 00:00:00,3.33,864,43,5,33,108,47,160,226,1,0,1
dolnośląskie,milicki,t0213,2021-03-16 00:00:00,4.88,394,4,0,18,24,20,44,74,0,0,0
mazowieckie,miński,t1412,2021-03-16 00:00:00,3.16,1304,46,20,49,229,83,332,260,0,0,0
mazowieckie,mławski,t1413,2021-03-16 00:00:00,1.24,882,70,1,9,79,11,91,80,0,0,0
kujawsko-pomorskie,mogileński,t0409,2021-03-16 00:00:00,4.39,329,14,3,20,32,21,56,70,3,0,3
