wojewodztwo,powiat_miasto,teryt,stan_rekordu_na,liczba_na_10_tys_mieszkancow,liczba_osob_objetych_kwarantanna,liczba_ozdrowiencow,liczba_pozostalych_testow,liczba_przypadkow,liczba_testow_z_wynikiem_negatywnym,liczba_testow_z_wynikiem_pozytywnym,liczba_wykonanych_testow,liczba_zlecen_poz,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych
warmińsko-mazurskie,Elbląg,t2861,2021-03-23 00:00:00,6.13,784,35,4,73,155,76,235,215,1,0,1
warmińsko-mazurskie,elbląski,t2804,2021-03-23 00:00:00,2.98,346,29,0,17,57,17,74,88,1,0,1
warmińsko-mazurskie,ełcki,t2805,2021-03-23 00:00:00,4.37,707,15,1,40,108,41,150,154,1,1,0
mazowieckie,garwoliński,t1403,2021-03-23 00:00:00,1.1,821,23,0,12,74,14,88,140,0,0,0
pomorskie,Gdańsk,t2261,2021-03-23 00:00:00,5.32,7142,425,28,251,827,265,1120,807,13,0,13
pomorskie,gdański,t2204,2021-03-23 00:00:00,2.85,2163,127,6,34,139,37,182,248,0,0,0
pomorskie,Gdynia,t2262,2021-03-23 00:00:00,3.86,3663,271,8,95,249,101,358,498,3,0,3
warmińsko-mazurskie,giżycki,t2806,2021-03-23 00:00:00,2.83,427,13,2,16,45,16,63,147,0,0,0
śląskie,Gliwice,t2466,2021-03-23 00:00:00,5.61,1778,71,2,100,219,111,332,375,0,0,0
śląskie,gliwicki,t2405,2021-03-23 00:00:00,5.97,1416,75,4,69,154,82,240,293,0,0,0
dolnośląskie,głogowski,t0203,2021-03-23 00:00:00,2.48,729,22,0,22,85,25,110,160,0,0,0
opolskie,głubczycki,t1602,2021-03-23 00:00:00,1.55,259,21,0,7,47,7,54,69,0,0,0
wielkopolskie,gnieźnieński,t3003,2021-03-23 00:00:00,2.61,2217,44,2,38,125,41,168,307,0,0,0
warmińsko-mazurskie,gołdapski,t2818,2021-03-23 00:00:00,0,230,3,0,0,13,2,15,38,0,0,0
zachodniopomorskie,goleniowski,t3204,2021-03-23 00:00:00,1.09,754,9,1,9,106,12,119,151,0,0,0
kujawsko-pomorskie,golubsko-dobrzyński,t0405,2021-03-23 00:00:00,7.34,706,24,2,33,55,33,90,111,5,0,5
małopolskie,gorlicki,t1205,2021-03-23 00:00:00,2.67,700,17,2,29,100,37,139,88,1,0,1
dolnośląskie,górowski,t0204,2021-03-23 00:00:00,4.32,196,7,0,15,50,15,65,58,0,0,0
lubuskie,Gorzów Wielkopolski,t0861,2021-03-23 00:00:00,5.19,1373,48,3,64,193,80,276,213,1,1,0
lubuskie,gorzowski,t0801,2021-03-23 00:00:00,4.3,908,22,0,31,133,34,167,127,0,0,0
mazowieckie,gostyniński,t1404,2021-03-23 00:00:00,1.12,229,7,2,5,50,6,58,35,1,0,1
wielkopolskie,gostyński,t3004,2021-03-23 00:00:00,0.26,463,18,1,2,49,2,52,110,0,0,0
podlaskie,grajewski,t2004,2021-03-23 00:00:00,3.4,352,8,1,16,58,21,80,50,0,0,0
mazowieckie,grodziski,t1405,2021-03-23 00:00:00,8.48,2102,101,0,82,143,87,230,279,0,0,0
wielkopolskie,grodziski,t3005,2021-03-23 00:00:00,1.73,423,12,0,9,35,9,44,82,0,0,0
mazowieckie,grójecki,t1406,2021-03-23 00:00:00,2.04,2155,59,3,20,126,24,153,169,0,0,0
kujawsko-pomorskie,Grudziądz,t0462,2021-03-23 00:00:00,5.31,1101,49,5,50,171,53,229,220,5,5,0
kujawsko-pomorskie,grudziądzki,t0406,2021-03-23 00:00:00,1.99,523,16,0,8,47,8,55,74,1,1,0
zachodniopomorskie,gryficki,t3205,2021-03-23 00:00:00,3.5,418,10,6,21,49,23,78,72,0,0,0
zachodniopomorskie,gryfiński,t3206,2021-03-23 00:00:00,2.45,509,15,2,20,109,25,136,108,0,0,0
podlaskie,hajnowski,t2005,2021-03-23 00:00:00,4.49,312,9,0,19,87,20,107,55,3,0,3
lubelskie,hrubieszowski,t0604,2021-03-23 00:00:00,7.52,850,20,5,47,112,54,171,161,0,0,0
warmińsko-mazurskie,iławski,t2807,2021-03-23 00:00:00,5.71,1683,56,1,53,91,54,146,195,1,0,1
kujawsko-pomorskie,inowrocławski,t0407,2021-03-23 00:00:00,5.96,1594,79,5,95,184,130,319,419,2,0,2
lubelskie,janowski,t0605,2021-03-23 00:00:00,2.86,272,7,0,13,38,14,52,34,1,0,1
wielkopolskie,jarociński,t3006,2021-03-23 00:00:00,4.61,812,34,0,33,102,36,138,138,1,0,1
podkarpackie,jarosławski,t1804,2021-03-23 00:00:00,3.16,1527,22,2,38,117,56,175,181,2,0,2
podkarpackie,jasielski,t1805,2021-03-23 00:00:00,2.56,756,34,1,29,83,45,129,140,0,0,0
śląskie,Jastrzębie-Zdrój,t2467,2021-03-23 00:00:00,3.62,931,48,1,32,50,34,85,231,0,0,0
dolnośląskie,jaworski,t0205,2021-03-23 00:00:00,1.8,308,30,0,9,45,12,57,68,0,0,0
śląskie,Jaworzno,t2468,2021-03-23 00:00:00,3.53,961,51,1,32,81,32,114,169,2,0,2
świętokrzyskie,jędrzejowski,t2602,2021-03-23 00:00:00,4.93,846,30,16,42,143,74,233,101,0,0,0
dolnośląskie,Jelenia Góra,t0261,2021-03-23 00:00:00,9.27,749,32,2,73,109,82,193,157,0,0,0
dolnośląskie,jeleniogórski,t0206,2021-03-23 00:00:00,5.99,494,12,1,38,72,42,115,108,0,0,0
wielkopolskie,kaliski,t3007,2021-03-23 00:00:00,1.32,622,16,1,11,77,17,95,92,0,0,0
wielkopolskie,Kalisz,t3061,2021-03-23 00:00:00,2.71,626,27,1,27,105,45,151,161,2,0,2
dolnośląskie,kamiennogórski,t0207,2021-03-23 00:00:00,6.04,793,63,0,26,82,33,115,69,3,3,0
zachodniopomorskie,kamieński,t3207,2021-03-23 00:00:00,1.71,322,25,3,8,46,10,59,50,0,0,0
pomorskie,kartuski,t2205,2021-03-23 00:00:00,5.19,2020,85,9,73,175,76,260,223,0,0,0
śląskie,Katowice,t2469,2021-03-23 00:00:00,5.42,2431,163,11,158,387,176,574,544,6,2,4
świętokrzyskie,kazimierski,t2603,2021-03-23 00:00:00,1.49,220,12,0,5,26,5,31,40,0,0,0
opolskie,kędzierzyńsko-kozielski,t1603,2021-03-23 00:00:00,5.77,1345,49,3,54,130,55,188,195,3,0,3
wielkopolskie,kępiński,t3008,2021-03-23 00:00:00,1.24,641,28,0,7,48,7,55,110,0,0,0
warmińsko-mazurskie,kętrzyński,t2808,2021-03-23 00:00:00,4.35,607,38,0,27,59,28,87,102,3,0,3
świętokrzyskie,Kielce,t2661,2021-03-23 00:00:00,5.72,1577,81,62,111,514,182,758,351,1,0,1
świętokrzyskie,kielecki,t2604,2021-03-23 00:00:00,4.02,1597,58,39,85,390,124,553,279,1,0,1
śląskie,kłobucki,t2406,2021-03-23 00:00:00,1.78,599,27,0,15,76,15,91,100,0,0,0
dolnośląskie,kłodzki,t0208,2021-03-23 00:00:00,1.78,1872,120,4,28,125,45,174,345,1,0,1
opolskie,kluczborski,t1604,2021-03-23 00:00:00,4.14,449,23,3,27,63,31,97,82,1,0,1
podkarpackie,kolbuszowski,t1806,2021-03-23 00:00:00,5.79,418,23,0,36,75,70,145,66,0,0,0
podlaskie,kolneński,t2006,2021-03-23 00:00:00,3.69,430,16,2,14,26,15,43,47,0,0,0
zachodniopomorskie,kołobrzeski,t3208,2021-03-23 00:00:00,0.63,363,8,3,5,65,8,76,92,0,0,0
wielkopolskie,kolski,t3009,2021-03-23 00:00:00,3.82,594,14,0,33,109,55,164,116,0,0,0
świętokrzyskie,konecki,t2605,2021-03-23 00:00:00,3.27,402,9,8,26,173,28,209,104,0,0,0
wielkopolskie,Konin,t3062,2021-03-23 00:00:00,1.09,397,20,0,8,72,10,82,119,0,0,0
wielkopolskie,koniński,t3010,2021-03-23 00:00:00,1.46,1023,31,1,19,99,21,121,194,0,0,0
wielkopolskie,kościański,t3011,2021-03-23 00:00:00,1.52,899,32,0,12,79,19,98,146,0,0,0
pomorskie,kościerski,t2206,2021-03-23 00:00:00,6.04,824,45,4,44,78,46,128,81,0,0,0
zachodniopomorskie,Koszalin,t3261,2021-03-23 00:00:00,1.12,804,41,1,12,97,14,112,155,1,0,1
zachodniopomorskie,koszaliński,t3209,2021-03-23 00:00:00,1.5,501,14,0,10,57,14,71,87,0,0,0
mazowieckie,kozienicki,t1407,2021-03-23 00:00:00,4.01,768,21,0,24,53,29,82,114,5,2,3
małopolskie,Kraków,t1261,2021-03-23 00:00:00,3.78,8232,440,37,295,679,308,1024,1344,15,14,1
małopolskie,krakowski,t1206,2021-03-23 00:00:00,4.39,3727,208,5,123,213,128,346,646,4,4,0
opolskie,krapkowicki,t1605,2021-03-23 00:00:00,2.83,614,20,0,18,152,19,171,65,2,1,1
lubelskie,kraśnicki,t0607,2021-03-23 00:00:00,2.95,430,11,1,28,96,32,129,88,0,0,0
lubelskie,krasnostawski,t0606,2021-03-23 00:00:00,3.65,549,15,2,23,73,23,98,60,0,0,0
lubuskie,krośnieński,t0802,2021-03-23 00:00:00,5.67,637,21,3,31,95,32,130,71,0,0,0
podkarpackie,krośnieński,t1807,2021-03-23 00:00:00,1.78,872,36,3,20,135,24,162,156,0,0,0
podkarpackie,Krosno,t1861,2021-03-23 00:00:00,3.68,411,17,1,17,49,20,70,98,0,0,0
wielkopolskie,krotoszyński,t3012,2021-03-23 00:00:00,7.77,1028,27,1,60,76,61,138,191,0,0,0
łódzkie,kutnowski,t1002,2021-03-23 00:00:00,2.29,336,15,0,22,158,26,184,95,0,0,0
pomorskie,kwidzyński,t2207,2021-03-23 00:00:00,2.41,904,43,2,20,60,20,82,159,1,0,1
podkarpackie,łańcucki,t1810,2021-03-23 00:00:00,2.96,1210,30,1,24,95,24,120,180,3,0,3
łódzkie,łaski,t1003,2021-03-23 00:00:00,2.61,373,18,1,13,46,13,60,59,0,0,0
pomorskie,lęborski,t2208,2021-03-23 00:00:00,1.21,824,60,3,8,102,10,115,142,0,0,0
łódzkie,łęczycki,t1004,2021-03-23 00:00:00,5.25,328,10,0,26,77,27,104,61,0,0,0
lubelskie,łęczyński,t0610,2021-03-23 00:00:00,4.89,333,5,3,28,67,29,99,79,0,0,0
mazowieckie,legionowski,t1408,2021-03-23 00:00:00,10.48,2526,108,30,125,306,175,511,288,3,2,1
dolnośląskie,Legnica,t0262,2021-03-23 00:00:00,1.51,853,44,3,15,95,17,115,150,1,1,0
dolnośląskie,legnicki,t0209,2021-03-23 00:00:00,3.26,481,22,3,18,49,22,74,86,0,0,0
