,geg_lat,geg_lon,district_name,province_name,param_name,param_formula,date1,value1,date2,value2,date3,value3
0,50.024242,22.010575,Rzeszów,PODKARPACKIE,tlenek węgla,CO,2021-03-24 21:00:00,1419.44,2021-03-24 20:00:00,727.93,2021-03-24 19:00:00,366.0
0,50.024242,22.010575,Rzeszów,PODKARPACKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,77.3919,2021-03-24 20:00:00,69.4162,2021-03-24 19:00:00,23.4528
0,50.024242,22.010575,Rzeszów,PODKARPACKIE,ozon,O3,2021-03-24 21:00:00,0.82278,2021-03-24 20:00:00,5.74556,2021-03-24 19:00:00,54.4983
0,50.024242,22.010575,Rzeszów,PODKARPACKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,19.5503,2021-03-24 20:00:00,16.7543,2021-03-24 19:00:00,14.129
0,50.040675,22.004656,Rzeszów,PODKARPACKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,64.7892,2021-03-24 20:00:00,63.8522,2021-03-24 19:00:00,32.8189
0,50.040675,22.004656,Rzeszów,PODKARPACKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,83.2384,2021-03-24 20:00:00,82.9463,2021-03-24 19:00:00,94.2228
0,50.040675,22.004656,Rzeszów,PODKARPACKIE,benzen,C6H6,2021-03-24 21:00:00,3.44678,2021-03-24 20:00:00,2.4642,2021-03-24 19:00:00,1.36876
0,50.040675,22.004656,Rzeszów,PODKARPACKIE,tlenek węgla,CO,2021-03-24 21:00:00,899.06,2021-03-24 20:00:00,865.64,2021-03-24 19:00:00,752.99
0,50.040675,22.004656,Rzeszów,PODKARPACKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,92.3858,2021-03-24 20:00:00,92.8761,2021-03-24 19:00:00,65.5265
0,50.012083,22.674772,jarosławski,PODKARPACKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,241.085,2021-03-24 20:00:00,194.927,2021-03-24 19:00:00,63.6024
0,50.012083,22.674772,jarosławski,PODKARPACKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,148.596,2021-03-24 20:00:00,107.981,2021-03-24 19:00:00,50.8248
