"";"teryt";"powiaty";"Ludność..Population";"ludnosc.na.1km2"
"158";"1421";"   pruszkowski";165912;674
"159";"1422";"   przasnyski";52511;43
"160";"1423";"   przysuski";41455;52
"161";"1424";"   pułtuski";51824;63
"162";"1425";"   radomski";152291;100
"163";"1426";"   siedlecki";81362;51
"164";"1427";"   sierpecki";51954;61
"165";"1428";"   sochaczewski";85045;116
"166";"1429";"   sokołowski";53804;48
"167";"1430";"   szydłowiecki";39672;88
"168";"1432";"   warszawski zachodni";118613;222
"169";"1433";"   węgrowski";65822;54
"170";"1434";"   wołomiński";249299;261
"171";"1435";"   wyszkowski";74220;85
"172";"1436";"   zwoleński";36166;63
"173";"1437";"   żuromiński";38515;48
"174";"1438";"   żyrardowski";75749;142
"175";"1461";"   Ostrołęka";52055;1556
"176";"1462";"   Płock";119425;1356
"177";"1463";"   Radom";211371;1891
"178";"1464";"   Siedlce";78185;2454
"179";"1465";"   m. st. Warszawa";1790658;3462
"180";"1601";"   brzeski";89804;103
"181";"1602";"   głubczycki";45552;68
"182";"1603";"   kędzierzyńsko-kozielski";93880;150
"183";"1604";"   kluczborski";65470;77
"184";"1605";"   krapkowicki";63747;144
"185";"1606";"   namysłowski";42634;57
"186";"1607";"   nyski";135948;111
"187";"1608";"   oleski";64293;66
"188";"1609";"   opolski";123726;81
"189";"1610";"   prudnicki";55237;97
"190";"1611";"   strzelecki";74300;100
"191";"1661";"   Opole";128035;860
"192";"1801";"   bieszczadzki";21664;19
"193";"1802";"   brzozowski";65567;122
"194";"1803";"   dębicki";135299;174
"195";"1804";"   jarosławski";120247;117
"196";"1805";"   jasielski";113450;137
"197";"1806";"   kolbuszowski";62246;81
"198";"1807";"   krośnieński";112283;113
"199";"1821";"   leski";26441;32
"200";"1808";"   leżajski";69370;119
"201";"1809";"   lubaczowski";55217;42
"202";"1810";"   łańcucki";81049;179
"203";"1811";"   mielecki";136660;155
"204";"1812";"   niżański";66589;85
"205";"1813";"   przemyski";74061;61
"206";"1814";"   przeworski";78362;112
"207";"1815";"   ropczycko-sędziszowski";74515;136
"208";"1816";"   rzeszowski";169438;148
"209";"1817";"   sanocki";94385;82
"210";"1818";"   stalowowolski";106037;127
"211";"1819";"   strzyżowski";61386;122
